"xmin","ymin","xmax","ymax","region"
-73.4480288638782,44.5061318080903,-73.2688632574035,45.063693824748,"Main_North"
-73.2264996771029,44.9677440073638,-73.0760816308904,45.0852344946802,"Missisquoi"
-73.4607437533388,43.999549493257,-73.2633182372302,44.3547946319994,"Main_South"
-73.4173937651127,44.3464905572297,-73.2171207663985,44.5132939755846,"Main_Central"
-73.3154706797657,44.5454683986097,-73.1831999659154,44.6335625458149,"Malletts"
-73.320366819231,44.6277160492656,-73.1365767677571,44.9360658677928,"Inland_Sea"
-73.3161694248972,44.7457651641104,-73.2884870158979,44.7784584360357,"Gut"
-73.3058370243641,44.8183059751341,-73.2122666714234,44.9750116066425,"NE_Channel"
-73.4879611389688,43.5313635610057,-73.3422990287043,44.035214899586,"South_Lake"
